index,Order ID,Date,Status,Fulfilment,Sales Channel,Service-level,Category,Size,Courier Status,Qty,Currency,Amount,City,State,Postal-Code,Country,B2B,fulfilled-by
7920,408-0195330-7953974,2022-04-25,Cancelled,Merchant,Amazon.in,Standard,Blazzer,XXL,On the Way,0,INR,785.71,"Sector 53, Golf Course Road, Gurugram",HARYANA,122001,IN,False,Easy Ship
7921,171-7872012-5057163,2022-04-25,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blazzer,XL,Shipped,1,INR,744.0,MUMBAI,MAHARASHTRA,400078,IN,False,Easy Ship
7922,407-2993447-2560362,2022-04-25,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,S,Shipped,1,INR,487.0,MUMBAI,MAHARASHTRA,400076,IN,False,Easy Ship
7923,406-1011046-1461128,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,Trousers,XL,Shipped,1,INR,487.0,GAJWEL,TELANGANA,502278,IN,False,Easy Ship
7924,403-2046030-4436348,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,T-shirt,S,Shipped,1,INR,968.0,VIJAPURA,KARNATAKA,586101,IN,False,Easy Ship
7925,171-8973686-2544304,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,Shirt,XL,Shipped,1,INR,353.0,TIRUPATI,ANDHRA PRADESH,517501,IN,False,Easy Ship
7926,407-7322720-5141101,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,517.0,HOWLI,ASSAM,781316,IN,False,Easy Ship
7927,408-8004298-7821109,2022-04-25,Cancelled,Amazon,Amazon.in,Expedited,Blazzer,3XL,Unshipped,1,INR,690.0,HYDERABAD,TELANGANA,500084,IN,False,Easy Ship
7928,402-2364179-6505153,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,Shirt,XL,Shipped,1,INR,442.0,KALYAN,MAHARASHTRA,421301,IN,False,Easy Ship
7929,402-7160245-1790764,2022-04-25,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,3XL,Shipped,1,INR,442.0,CHENNAI,TAMIL NADU,600023,IN,False,Easy Ship
7930,404-0666105-3601963,2022-04-25,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Shirt,3XL,Shipped,1,INR,517.0,GURUGRAM,HARYANA,122004,IN,False,Easy Ship
7931,403-3438283-2311545,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,Shirt,M,Shipped,1,INR,329.0,CUTTACK,ODISHA,753010,IN,False,Easy Ship
7932,402-9675767-5767500,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,Trousers,XL,Shipped,1,INR,665.0,NAGPUR,MAHARASHTRA,440025,IN,False,Easy Ship
7933,402-7828274-2156354,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,Trousers,XXL,Shipped,1,INR,518.0,KOLKATA,WEST BENGAL,700066,IN,False,Easy Ship
7934,407-6366747-8833902,2022-04-25,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,Shirt,S,Shipped,1,INR,475.0,SANGAREDDY,TELANGANA,502001,IN,False,Easy Ship
7935,404-7312759-1481951,2022-04-25,Cancelled,Merchant,Amazon.in,Standard,Shirt,3XL,On the Way,0,INR,492.38,GURUGRAM,HARYANA,122004,IN,False,Easy Ship
7936,403-5691079-7476362,2022-04-25,Cancelled,Amazon,Amazon.in,Expedited,T-shirt,S,Cancelled,0,INR,623.2403721475794,HYDERABAD,TELANGANA,500089,IN,False,Easy Ship
7937,407-4583976-8433933,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,Shirt,3XL,Shipped,1,INR,399.0,Elanji P.O,KERALA,686665,IN,False,Easy Ship
7938,171-4882181-2459562,2022-04-25,Cancelled,Amazon,Amazon.in,Expedited,T-shirt,M,Unshipped,1,INR,1112.0,BILASPUR,CHHATTISGARH,495001,IN,False,Easy Ship
7939,408-2363994-9624316,2022-04-25,Shipped,Amazon,Amazon.in,Standard,T-shirt,L,Shipped,1,INR,0.0,MANALI,HIMACHAL PRADESH,175131,IN,False,Easy Ship
7940,403-8097722-0010763,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,T-shirt,L,Shipped,1,INR,595.0,SURI,WEST BENGAL,731101,IN,False,Easy Ship
7941,403-0443983-6033938,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,T-shirt,M,Shipped,1,INR,357.0,HYDERABAD,TELANGANA,500089,IN,False,Easy Ship
7942,402-6652330-6817942,2022-04-25,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,M,Shipped,1,INR,1399.0,KARIMNAGAR,TELANGANA,505001,IN,False,Easy Ship
7943,405-1478438-4790741,2022-04-25,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,T-shirt,M,Shipped,1,INR,495.0,NEW DELHI,DELHI,110052,IN,False,Easy Ship
7944,408-6720635-0721949,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,Shirt,XL,Shipped,1,INR,459.0,COIMBATORE,TAMIL NADU,641041,IN,False,Easy Ship
7945,404-4240153-4636302,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,T-shirt,XXL,Shipped,1,INR,788.0,DOMBIVALI EAST,MAHARASHTRA,421204,IN,False,Easy Ship
7946,404-9630556-5845141,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,Shirt,XS,Shipped,1,INR,329.0,HYDERABAD,TELANGANA,500047,IN,False,Easy Ship
7947,407-0717752-0599559,2022-04-25,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,T-shirt,S,Shipped,1,INR,725.0,BELAGAVI,KARNATAKA,590003,IN,False,Easy Ship
7948,406-9779832-0481127,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,Blazzer,XL,Shipped,1,INR,744.0,OTTAPPALAM,KERALA,679101,IN,False,Easy Ship
7949,407-4776213-8047522,2022-04-25,Cancelled,Amazon,Amazon.in,Expedited,Blazzer,XXL,Unshipped,1,INR,721.0,Hyderabad,TELANGANA,500032,IN,False,Easy Ship
7950,406-6746718-5913105,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,Shirt,L,Shipped,1,INR,459.0,Pune kalyani nagar,MAHARASHTRA,411006,IN,False,Easy Ship
7951,404-1214855-5912305,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,Shirt,3XL,Shipped,1,INR,517.0,KOLHAPUR,MAHARASHTRA,416207,IN,False,Easy Ship
7952,404-1214855-5912305,2022-04-25,Shipped,Amazon,Amazon.in,Expedited,Shirt,XXL,Shipped,1,INR,316.0,KOLHAPUR,MAHARASHTRA,416207,IN,False,Easy Ship
